"","RMBC","TCLUST","MCLUST","Otrimle"
"MCR",6.33333333333334,7.66666666666667,18.6666666666667,6.99999999999999
"MCR_0",10.1333333333333,26.1333333333333,34.9333333333333,25.6
"Specificity",0.986666666666667,0.98,1,0.996666666666667
"Sensitivity",0.746666666666667,0,0,0
"K-L",0.284475113639622,2.7327861264525,0.553725948377708,2.1025245219537
